Player,Team,Opponent,Matchup Difficulty,Injury Status,INT,FR,FF,TD,SAFETY,PA,YDS AGN,FPTS
Minnesota Vikings,Vikings,4.3,Neutral,,0.7,0.6,0.9,0.1,0.0,19.3,291.2,8.8
Tampa Bay Buccaneers,Buccaneers,3.1,Neutral,,0.8,0.7,1.0,0.2,0.0,18.8,315.7,8.1
Seattle Seahawks,Seahawks,3.0,Neutral,,0.8,0.6,0.9,0.2,0.0,18.5,306.0,8.0
New Orleans Saints,Saints,3.1,Neutral,,0.8,0.5,0.8,0.2,0.0,18.3,292.3,7.8
Chicago Bears,Bears,3.0,Neutral,,0.9,0.5,0.8,0.2,0.0,18.3,290.3,7.8
Cincinnati Bengals,Bengals,2.8,Neutral,,0.9,0.6,0.8,0.2,0.0,16.7,317.5,7.8
Buffalo Bills,Bills,2.8,Neutral,,0.8,0.6,1.0,0.2,0.0,19.8,319.7,7.6
San Francisco 49ers,49ers,2.9,Neutral,,0.6,0.7,1.2,0.2,0.0,19.5,310.0,7.6
Dallas Cowboys,Cowboys,3.3,Neutral,,0.9,0.7,1.2,0.2,0.0,21.9,321.3,7.5
Atlanta Falcons,Falcons,2.9,Neutral,,0.8,0.5,0.7,0.1,0.0,20.0,304.7,7.3
New York Giants,Giants,2.8,Neutral,,0.9,0.8,1.3,0.2,0.0,20.6,333.4,7.2
Los Angeles Chargers,Chargers,2.5,Neutral,,0.7,0.6,0.9,0.2,0.0,18.5,309.4,7.2
Houston Texans,Texans,3.0,Neutral,,0.7,0.6,0.9,0.2,0.1,23.3,333.8,6.9
Miami Dolphins,Dolphins,2.6,Neutral,,0.8,0.8,1.3,0.2,0.0,22.0,328.8,6.6
Kansas City Chiefs,Chiefs,2.9,Neutral,,0.7,0.6,1.0,0.2,0.0,22.4,335.9,6.6
Cleveland Browns,Browns,2.7,Neutral,,0.8,0.5,0.7,0.2,0.0,20.9,324.5,6.4
Green Bay Packers,Packers,2.6,Neutral,,0.7,0.6,0.9,0.2,0.1,25.8,346.3,6.4
Tennessee Titans,Titans,3.1,Neutral,,0.7,0.5,0.7,0.1,0.0,23.3,323.7,6.3
Pittsburgh Steelers,Steelers,2.6,Neutral,,0.6,0.6,1.0,0.1,0.1,23.4,352.4,6.1
Las Vegas Raiders,Raiders,2.6,Neutral,,0.6,0.6,0.9,0.2,0.0,23.0,338.0,6.0
Washington Commanders,Commanders,2.5,Neutral,,0.7,0.6,0.9,0.1,0.0,24.3,336.0,5.9
Indianapolis Colts,Colts,2.9,Neutral,,0.6,0.5,0.8,0.1,0.0,26.0,354.7,5.9
Baltimore Ravens,Ravens,2.2,Neutral,,0.7,0.7,1.1,0.2,0.0,24.2,345.6,5.9
Denver Broncos,Broncos,2.4,Neutral,,0.7,0.6,1.0,0.1,0.0,25.3,340.2,5.8
Detroit Lions,Lions,2.4,Neutral,,0.8,0.4,0.6,0.1,0.0,23.6,364.1,5.7
New York Jets,Jets,2.4,Neutral,,0.7,0.6,0.9,0.1,0.0,24.7,338.5,5.6
Philadelphia Eagles,Eagles,2.3,Neutral,,0.8,0.5,0.8,0.1,0.0,24.2,336.9,5.6
Jacksonville Jaguars,Jaguars,2.1,Neutral,,0.7,0.5,0.9,0.2,0.0,25.6,371.0,5.5
New England Patriots,Patriots,2.4,Neutral,,0.7,0.4,0.6,0.1,0.0,25.4,320.5,5.4
Arizona Cardinals,Cardinals,1.7,Neutral,,0.8,0.6,0.9,0.2,0.0,28.5,388.5,5.3
Los Angeles Rams,Rams,2.1,Neutral,,0.7,0.5,0.7,0.1,0.0,29.2,372.8,5.1
Carolina Panthers,Panthers,1.9,Neutral,,0.7,0.4,0.7,0.1,0.0,24.0,332.1,4.9
