Player,Team,Opponent,Matchup Difficulty,Injury Status,CMP,YDS,TDS,INTS,ATT,FL,FPTS
Josh Allen,BUF,34.8,Neutral,,23.3,38.2,0.7,0.9,7.1,0.2,24.3
Jalen Hurts,PHI,33.0,Neutral,,21.7,36.5,0.7,0.8,8.1,0.2,22.2
Patrick Mahomes II,KC,36.9,Neutral,,24.3,24.1,0.1,0.6,4.5,0.2,20.4
Lamar Jackson,BAL,30.8,Neutral,,19.8,51.8,0.3,0.7,9.1,0.3,20.3
C.J. Stroud,HOU,34.9,Neutral,,23.2,11.3,0.1,0.5,2.7,0.2,19.8
Anthony Richardson Sr.,IND,31.2,Neutral,,19.9,40.5,0.5,0.7,8.0,0.3,19.7
Joe Burrow,CIN,35.0,Neutral,,23.6,10.3,0.1,0.6,3.0,0.2,18.7
Kyler Murray,ARI,33.1,Neutral,,22.1,32.7,0.3,0.6,6.1,0.2,18.2
Caleb Williams,CHI,33.3,Neutral,,21.5,23.4,0.2,0.6,5.3,0.3,18.1
Jordan Love,GB,35.0,Neutral,,23.1,12.4,0.1,0.8,2.8,0.2,18.1
Jared Goff,DET,35.1,Neutral,,23.7,3.5,0.1,0.7,1.6,0.2,18.0
Jayden Daniels,WAS,33.5,Neutral,,21.0,37.3,0.3,0.8,7.1,0.3,18.0
Trevor Lawrence,JAC,35.8,Neutral,,23.5,18.7,0.2,0.8,4.2,0.3,17.7
Justin Herbert,LAC,33.5,Neutral,,22.3,16.8,0.2,0.6,4.3,0.2,17.5
Tua Tagovailoa,MIA,34.3,Neutral,,23.4,5.8,0.0,0.8,2.0,0.2,17.5
Matthew Stafford,LAR,35.5,Neutral,,22.7,4.0,0.0,0.9,1.4,0.1,17.3
Baker Mayfield,TB,33.2,Neutral,,21.4,10.5,0.1,0.8,3.0,0.2,17.3
Justin Fields,NYJ,30.8,Neutral,,18.7,46.9,0.4,0.8,8.7,0.4,17.1
Deshaun Watson,CLE,33.8,Neutral,,20.1,23.9,0.2,0.9,5.3,0.2,17.0
Geno Smith,LV,32.4,Neutral,,21.8,11.8,0.1,0.8,2.9,0.2,17.0
Dak Prescott,DAL,35.1,Neutral,,22.8,12.7,0.1,0.8,3.1,0.2,16.9
Brock Purdy,SF,31.7,Neutral,,20.7,9.7,0.1,0.7,2.5,0.2,16.5
Daniel Jones,IND,32.4,Neutral,,21.4,29.6,0.2,0.7,6.0,0.2,16.3
Kirk Cousins,ATL,33.6,Neutral,,21.6,6.2,0.1,0.7,2.3,0.3,16.3
Sam Darnold,SEA,34.4,Neutral,,21.9,9.7,0.1,1.0,3.0,0.3,15.4
Aaron Rodgers,PIT,34.5,Neutral,,22.9,6.6,0.1,0.5,2.0,0.2,15.2
Will Levis,TEN,32.1,Neutral,,20.2,11.1,0.1,0.9,3.3,0.2,14.3
Bo Nix,DEN,31.5,Neutral,,19.9,16.7,0.1,0.8,3.8,0.2,14.3
Bryce Young,CAR,33.2,Neutral,,20.2,14.0,0.1,0.8,2.7,0.2,13.8
Gardner Minshew II,KC,31.3,Neutral,,19.5,8.3,0.1,0.8,2.4,0.2,13.8
Jacoby Brissett,ARI,32.4,Neutral,,20.6,13.6,0.1,0.9,3.2,0.3,13.7
Russell Wilson,NYG,12.7,Neutral,,7.9,9.0,0.2,0.3,2.2,0.1,7.2
