Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
Tyreek Hill MIA,6.9,96.9,0.7,0.3,1.5,0.0,0.0,13.8
Amon-Ra St. Brown DET,6.9,85.8,0.6,0.2,1.4,0.0,0.0,12.1
CeeDee Lamb DAL,6.8,86.0,0.5,0.4,3.0,0.0,0.1,11.9
Justin Jefferson MIN,6.6,89.4,0.5,0.1,0.2,0.0,0.1,11.8
Puka Nacua LAR,5.9,83.9,0.4,0.4,2.3,0.0,0.0,11.2
A.J. Brown PHI,5.8,82.4,0.5,0.0,0.1,0.0,0.1,11.1
Ja'Marr Chase CIN,5.7,74.2,0.5,0.2,0.8,0.0,0.0,10.5
Deebo Samuel Sr. WAS,4.3,58.4,0.4,2.6,13.3,0.2,0.0,10.4
Nico Collins HOU,4.9,74.4,0.5,0.1,0.5,0.0,0.0,10.4
Mike Evans TB,4.5,69.7,0.6,0.0,0.1,0.0,0.0,10.3
Garrett Wilson NYJ,5.8,73.1,0.5,0.2,1.0,0.0,0.1,10.1
Chris Olave NO,5.6,74.5,0.4,0.0,0.1,0.0,0.0,10.0
Cooper Kupp SEA,5.5,72.0,0.4,0.1,0.8,0.0,0.0,9.9
Davante Adams LAR,5.8,73.3,0.4,0.0,0.1,0.0,0.0,9.8
DK Metcalf PIT,4.6,66.6,0.5,0.0,0.1,0.0,0.0,9.7
Drake London ATL,5.5,71.8,0.4,0.0,0.1,0.0,0.0,9.6
Jaylen Waddle MIA,5.3,71.6,0.4,0.2,1.1,0.0,0.0,9.5
Marvin Harrison Jr. ARI,5.4,71.1,0.4,0.0,0.2,0.0,0.1,9.4
DeVonta Smith PHI,5.1,67.1,0.4,0.0,0.1,0.0,0.1,9.2
Tank Dell HOU,4.4,61.1,0.5,0.5,3.0,0.0,0.0,9.1
Rashee Rice KC,5.7,64.4,0.5,0.1,0.4,0.0,0.0,9.1
Stefon Diggs NE,5.2,65.2,0.4,0.1,0.5,0.0,0.0,9.0
Malik Nabers NYG,5.3,68.4,0.4,0.0,0.3,0.0,0.1,9.0
DJ Moore CHI,4.8,64.5,0.4,0.1,0.7,0.0,0.0,9.0
George Pickens DAL,4.3,65.2,0.4,0.1,0.7,0.0,0.0,8.7
Michael Pittman Jr. IND,6.0,68.0,0.3,0.0,0.2,0.0,0.0,8.7
Brandon Aiyuk SF,4.4,63.4,0.4,0.0,0.1,0.0,0.0,8.7
Chris Godwin TB,5.1,61.9,0.4,0.1,1.0,0.0,0.0,8.5
Calvin Ridley TEN,4.4,58.6,0.4,0.2,0.8,0.0,0.0,8.3
Christian Kirk HOU,5.0,63.2,0.3,0.1,0.4,0.0,0.1,8.3
Zay Flowers BAL,5.0,59.6,0.3,0.3,2.2,0.0,0.1,8.2
Terry McLaurin WAS,4.9,64.7,0.3,0.0,0.1,0.0,0.0,8.1
Diontae Johnson CLE,4.5,57.2,0.4,0.1,0.4,0.0,0.0,7.8
Jayden Reed GB,3.9,49.4,0.4,0.4,3.7,0.1,0.0,7.7
Christian Watson GB,3.5,50.8,0.4,0.3,1.4,0.0,0.0,7.7
Joshua Palmer BUF,4.6,59.3,0.3,0.0,0.1,0.0,0.1,7.6
Jaxon Smith-Njigba SEA,4.6,53.2,0.4,0.0,0.1,0.0,0.0,7.5
Xavier Worthy KC,3.7,51.9,0.4,0.1,0.9,0.0,0.0,7.4
Courtland Sutton DEN,4.2,54.2,0.3,0.0,0.1,0.0,0.1,7.3
DeAndre Hopkins BAL,4.1,52.8,0.3,0.0,0.2,0.0,0.0,7.2
Jordan Addison MIN,4.1,51.5,0.3,0.0,0.2,0.0,0.0,7.1
Jameson Williams DET,3.2,47.0,0.3,0.7,3.4,0.0,0.0,7.1
Ladd McConkey LAC,4.2,52.1,0.3,0.1,0.4,0.0,0.1,7.0
Brian Thomas Jr. JAC,3.9,52.5,0.3,0.0,0.3,0.0,0.1,6.9
Khalil Shakir BUF,3.9,50.3,0.3,0.0,0.2,0.0,0.0,6.9
Tyler Lockett TEN,4.1,48.4,0.4,0.0,0.1,0.0,0.0,6.9
Rome Odunze CHI,3.7,49.3,0.3,0.1,0.4,0.0,0.1,6.8
Keon Coleman BUF,3.5,47.5,0.3,0.0,0.3,0.0,0.1,6.7
Curtis Samuel BUF,3.6,39.9,0.3,0.7,4.2,0.1,0.0,6.5
Jerry Jeudy CLE,3.7,50.3,0.2,0.0,0.3,0.0,0.0,6.5
Rashid Shaheed NO,3.3,45.4,0.3,0.2,1.9,0.0,0.1,6.5
Andrei Iosivas CIN,3.7,44.1,0.3,0.0,0.3,0.0,0.0,6.4
Romeo Doubs GB,3.4,43.0,0.4,0.0,0.1,0.0,0.0,6.4
Jakobi Meyers LV,3.9,45.3,0.3,0.2,0.9,0.0,0.0,6.2
DeMario Douglas NE,4.0,48.3,0.2,0.4,2.1,0.0,0.1,6.2
Brandin Cooks NO,3.4,41.7,0.3,0.2,1.2,0.0,0.0,5.9
Adam Thielen CAR,4.2,42.0,0.3,0.0,0.2,0.0,0.0,5.8
Ja'Lynn Polk NE,3.5,46.0,0.2,0.0,0.3,0.0,0.0,5.7
Darnell Mooney ATL,2.9,40.9,0.2,0.1,0.7,0.0,0.0,5.5
Adonai Mitchell IND,3.1,41.5,0.2,0.0,0.3,0.0,0.0,5.4
Mike Williams LAC,3.0,38.9,0.2,0.1,0.5,0.0,0.0,5.3
Wan'Dale Robinson NYG,3.9,35.1,0.2,0.5,3.5,0.0,0.0,5.2
Demarcus Robinson SF,2.8,36.8,0.2,0.0,0.4,0.0,0.0,5.1
Michael Wilson ARI,2.9,37.2,0.2,0.0,0.1,0.0,0.0,5.0
Dontayvion Wicks GB,2.5,33.9,0.3,0.0,0.2,0.0,0.0,4.9
Quentin Johnston LAC,2.8,34.2,0.2,0.1,0.4,0.0,0.0,4.7
Darius Slayton NYG,2.6,35.6,0.2,0.0,0.0,0.0,0.0,4.7
John Stephens Jr. DAL,2.7,36.0,0.2,0.1,0.6,0.0,0.1,4.7
Rashod Bateman BAL,2.7,33.9,0.2,0.0,0.3,0.0,0.0,4.5
Josh Reynolds NYJ,2.5,32.9,0.2,0.0,0.1,0.0,0.0,4.5
Alec Pierce IND,2.1,32.2,0.2,0.0,0.1,0.0,0.0,4.3
Tee Higgins CIN,1.9,26.9,0.3,0.0,0.0,0.0,0.0,4.2
Jalen McMillan TB,2.4,29.6,0.2,0.0,0.4,0.0,0.0,4.1
Jalin Hyatt NYG,2.5,31.1,0.2,0.0,0.1,0.0,0.0,4.0
Dyami Brown JAC,2.1,28.9,0.2,0.0,0.2,0.0,0.0,3.9
Greg Dortch ARI,2.8,28.4,0.2,0.2,1.3,0.0,0.0,3.9
Jalen Tolbert DAL,2.4,29.3,0.2,0.0,0.2,0.0,0.0,3.9
Tre Tucker LV,2.1,24.8,0.2,0.4,2.6,0.0,0.0,3.7
Jonathan Mingo DAL,2.3,27.6,0.1,0.0,0.3,0.0,0.0,3.6
Xavier Legette CAR,2.1,26.8,0.1,0.2,0.8,0.0,0.0,3.6
Marvin Mims Jr. DEN,2.1,28.7,0.1,0.4,1.4,0.0,0.1,3.6
Ray-Ray McCloud III ATL,2.2,22.5,0.2,0.4,2.8,0.0,0.0,3.5
K.J. Osborn WAS,2.2,26.3,0.1,0.0,0.1,0.0,0.0,3.4
Allen Lazard NYJ,1.9,24.4,0.2,0.0,0.1,0.0,0.0,3.4
Elijah Moore BUF,2.1,24.5,0.2,0.2,0.8,0.0,0.0,3.4
Van Jefferson TEN,1.8,24.9,0.1,0.0,0.4,0.0,0.0,3.4
Kalif Raymond DET,1.9,23.4,0.1,0.1,1.9,0.0,0.0,3.3
Jalen Nailor MIN,2.0,25.9,0.1,0.0,0.0,0.0,0.0,3.3
Jahan Dotson PHI,1.9,23.0,0.2,0.0,0.1,0.0,0.0,3.3
Cedrick Wilson Jr. NO,1.8,21.1,0.2,0.0,0.2,0.0,0.0,3.2
Trey Palmer TB,1.7,20.9,0.1,0.3,1.4,0.0,0.0,3.1
Justin Watson HOU,1.6,21.7,0.1,0.0,0.0,0.0,0.0,3.0
A.T. Perry DEN,1.2,17.7,0.2,0.0,0.1,0.0,0.0,3.0
Calvin Austin III PIT,1.5,17.2,0.1,0.4,2.5,0.0,0.0,2.9
Jauan Jennings SF,1.7,20.6,0.1,0.0,0.1,0.0,0.0,2.9
Braxton Berrios HOU,2.0,19.6,0.1,0.0,0.4,0.0,0.0,2.8
Troy Franklin DEN,1.8,21.9,0.1,0.0,0.0,0.0,0.0,2.7
Luke McCaffrey WAS,1.7,20.9,0.1,0.0,0.2,0.0,0.0,2.6
Jermaine Burton CIN,1.5,18.8,0.1,0.0,0.1,0.0,0.0,2.6
KaVontae Turpin DAL,1.0,11.3,0.1,0.5,3.8,0.0,0.0,2.4
Treylon Burks TEN,1.3,17.6,0.1,0.1,1.1,0.0,0.0,2.3
Mack Hollins NE,1.2,15.6,0.1,0.0,0.2,0.0,0.0,2.3
Olamide Zaccheaus CHI,1.3,16.6,0.1,0.0,0.2,0.0,0.0,2.2
